Description,Trail Mile,Trip Mile,Total Days,Miles From Last
SR 233,1104.5,1104.5,87.8,0.1
Ironmasters Mansion Shelter,1104.7,1104.7,87.8,0.1
Pine Grove Furnace State Park TH,1104.8,1104.8,87.8,0.1
Pine Grove Furnace State Park TH,1104.8,1104.8,87.8,0.1
Pine Grove Furnace State Park TH,1105.1,1105.1,87.8,0.3
Pine Grove Furnace State Park (Old Railroad Bed Road 2) TH,1105.9,1105.9,87.9,0.7
James Fry at Tagg Run Shelter,1112.1,1112.1,88.2,6.3
Green Mountain Road (Tagg Run) TH,1112.6,1112.6,88.3,0.5
PA 34 (Hunter's Run) TH,1113.3,1113.3,88.3,0.7
SR 34,1113.5,1113.5,88.3,0.2
Appalachian Trail Road TH,1113.5,1113.5,88.3,0.0
Mt. Holly Springs  PA 17065/SR 94,1115.6,1115.6,88.4,2.1
Sheet Iron Roof Road TH,1115.8,1115.8,88.5,0.3
Whiskey Springs Road TH,1118.4,1118.4,88.6,2.6
Alec Kennedy Shelter,1120.4,1120.4,88.7,2.1
No Official Name or Unknown TH,1122.9,1122.9,88.9,2.4
Leidigh Road (south side only) TH,1123.3,1123.3,88.9,0.4
No Official Name Or Unknown TH,1123.4,1123.4,88.9,0.1
No Official Name or Unknown TH,1124.1,1124.1,89.0,0.7
Fishing Parking Lot TH,1124.2,1124.2,89.0,0.2
ATC Mid-Atlantic Office Shelter,1124.4,1124.4,89.0,0.2
Boiling Springs  PA 17007/SR 174,1124.5,1124.4,89.0,0.0
PA 74 (York Road - north side only) TH,1126.5,1126.5,89.1,2.1
Lisburn Road TH,1127.5,1127.5,89.2,1.0
SR 641,1128.6,1128.6,89.2,1.1
PA 641 (Trindle Road) TH,1128.6,1128.6,89.2,0.0
I-76,1131.2,1131.2,89.4,2.6
I-76,1131.2,1131.2,89.4,0.0
US Hwy 11,1132.4,1132.4,89.5,1.2
I-81,1133.3,1133.3,89.5,0.9
I-81,1133.4,1133.4,89.5,0.0
Scott Farm Shelter,1134.8,1134.8,89.6,1.4
Sherwood Drive TH,1136.0,1136.0,89.7,1.1
SR 944,1136.9,1136.9,89.7,0.9
Darlington Shelter,1138.9,1138.9,89.9,2.0
PA 850 TH,1141.1,1141.1,90.0,2.2
SR 850,1141.1,1141.1,90.0,0.0
Cove Mountain Shelter,1146.3,1146.3,90.3,5.2
No Official Name Or Unknown TH,1148.9,1148.9,90.5,2.6
US Hwy 15,1149.7,1149.7,90.5,0.8
Duncannon  PA 17020,1150.7,1150.7,90.6,1.0
SR 849,1151.2,1151.2,90.6,0.5
SR 849,1151.4,1151.4,90.6,0.3
US Hwy 22,1151.9,1151.9,90.7,0.5
SR 147,1152.0,1152.0,90.7,0.0
Clark's Ferry Shelter,1154.7,1154.7,90.8,2.8
SR 225,1158.7,1158.7,91.1,3.9
PA 225 TH,1158.7,1158.7,91.1,0.0
Peters Mountain Shelter,1161.7,1161.7,91.3,3.0
SR 325,1168.8,1168.8,91.7,7.1
PA 325 TH,1168.8,1168.8,91.7,0.0
Rausch Gap Shelter,1180.5,1180.5,92.4,11.7
Rausch Gap TH,1180.7,1180.7,92.4,0.2
SR 443,1184.4,1184.4,92.6,3.8
PA 443 (Swatara State Park) TH,1185.1,1185.1,92.7,0.7
PA 72 (Swatara State Park) TH,1186.3,1186.3,92.7,1.2
SR 72,1186.5,1186.5,92.8,0.2
I-81,1186.8,1186.8,92.8,0.4
I-81,1186.9,1186.9,92.8,0.0
William Penn Shelter,1194.1,1194.1,93.2,7.2
PA 645 TH,1196.3,1196.3,93.4,2.2
SR 645,1196.3,1196.3,93.4,0.0
PA 501 Shelter,1198.1,1198.1,93.5,1.8
Pine Grove  PA 17963/PA 501 TH,1198.3,1198.3,93.5,0.2
SR 501,1198.4,1198.4,93.5,0.0
PA 183 (south) TH,1207.6,1207.6,94.0,9.3
SR 183,1207.7,1207.7,94.1,0.0
PA 183 (north) TH,1208.0,1208.0,94.1,0.3
Eagles Nest Shelter,1213.6,1213.6,94.4,5.6
PA 61 TH,1223.0,1223.0,95.0,9.4
SR 61,1223.4,1223.4,95.0,0.4
Port Clinton  PA 19549/Port Clinton Ave TH,1223.5,1223.5,95.0,0.1
Hamburg Watershed TH,1228.8,1228.8,95.3,5.3
Windsor Furnace Shelter,1228.9,1228.9,95.3,0.1
Eckville Shelter,1238.0,1238.0,95.9,9.2
Hawk Mountain Road TH,1238.1,1238.1,95.9,0.0
Allentown Shelter,1245.7,1245.7,96.4,7.6
Fort Franklin Road (Blue Mountainhouse Road) TH,1247.7,1247.7,96.5,2.0
SR 309,1249.9,1249.9,96.6,2.2
PA 309 TH,1249.9,1249.9,96.6,0.0
Bake Oven Knob Road (west side) TH,1254.8,1254.8,96.9,4.8
Bake Oven Knob Road (east side) TH,1254.8,1254.8,96.9,0.0
Bake Oven Knob Shelter,1255.8,1255.8,97.0,1.0
Ashfield Road (Lehigh Furnace Gap) TH,1258.2,1258.2,97.1,2.4
I-476,1260.7,1260.7,97.3,2.5
I-476,1260.7,1260.7,97.3,0.0
George W. Outerbridge Shelter,1262.6,1262.6,97.4,2.0
Lehigh Gap West TH,1263.2,1263.2,97.4,0.6
Slatington  PA 18080/SR 873,1263.2,1263.2,97.4,0.0
SR 145,1263.6,1263.6,97.5,0.4
SR 248,1263.6,1263.6,97.5,0.0
Lehigh Gap East TH,1263.7,1263.7,97.5,0.1
Blue Mountain Drive (Little Gap) TH,1268.5,1268.5,97.8,4.8
Danielsville  PA 18038,1268.6,1268.5,97.8,0.0
Smith Gap TH,1275.9,1275.9,98.2,7.3
Leroy A. Smith Shelter,1279.3,1279.3,98.4,3.4
SR 33,1283.9,1283.9,98.7,4.5
PA 115 (Wind Gap) TH,1284.0,1284.0,98.7,0.1
Wind Gap  PA 18091/SR 115,1284.0,1284.0,98.7,0.0
PA 191 (Fox Gap) TH,1292.5,1292.5,99.2,8.6
SR 191,1292.6,1292.6,99.2,0.0
Kirkridge Shelter,1293.1,1293.1,99.3,0.6
Delaware Water Gap (Lake Lenape) TH,1299.3,1299.3,99.6,6.1
SR 611,1299.5,1299.5,99.6,0.2
Delaware Water Gap  PA 18327,1299.5,1299.5,99.6,0.0
AT Overflow Parking TH,1300.8,1300.8,99.7,1.3
I-80,1301.0,1301.0,99.7,0.2
I-80,1301.0,1301.0,99.7,0.0
I-80 TH,1301.0,1301.0,99.7,0.0
Dunnfield Creek Natural Area TH,1301.1,1301.1,99.7,0.1
Mohican Outdoor Center (Camp Road) TH,1310.1,1310.1,100.3,8.9
Fire Road Entrance TH,1313.3,1313.3,100.5,3.2
Blairstown Road TH,1313.4,1313.4,100.5,0.1
Blue Mountain Lakes Road TH,1317.1,1317.1,100.7,3.7
County Rd 624,1317.2,1317.1,100.7,0.0
Blue Mountain Lakes Road TH,1317.2,1317.2,100.7,0.0
Brink Road Shelter,1324.1,1324.0,101.1,6.9
Branchville  NJ 07826,1327.5,1327.5,101.3,3.5
US Hwy 206,1327.6,1327.5,101.3,0.0
County Rd 636,1327.6,1327.6,101.4,0.0
Culvers Gap TH,1327.9,1327.9,101.4,0.3
Gren Anderson Shelter,1330.7,1330.7,101.5,2.8
Sunrise Mountain Picnic Shelter,1333.0,1333.0,101.7,2.3
Sunrise Mountain Pavilion TH,1333.2,1333.2,101.7,0.2
Mashipicong Shelter,1336.4,1336.3,101.9,3.1
County Rd 650,1336.5,1336.5,101.9,0.2
Deckertown Turnpike TH,1336.5,1336.5,101.9,0.0
Rutherford Shelter,1339.4,1339.4,102.1,2.9
NJ 23 (High Point State Park) TH,1341.7,1341.7,102.2,2.3
SR 23,1341.8,1341.8,102.2,0.1
High Point Shelter,1343.3,1343.3,102.3,1.5
County Road 519 TH,1344.7,1344.7,102.4,1.4
County Rd 519,1344.7,1344.7,102.4,0.0
Goldsmith Lane TH,1349.2,1349.2,102.7,4.5
Unionville Road TH,1349.6,1349.6,102.7,0.4
County Rd 651,1349.6,1349.6,102.7,0.0
Unionville  NY 10988/Quarry Road TH,1349.9,1349.9,102.7,0.3
Lott Road TH,1350.6,1350.6,102.8,0.7
NJ 284 TH,1351.6,1351.6,102.8,1.0
County Rd 667,1355.3,1355.3,103.0,3.6
Pochuck Mountain Shelter,1355.8,1355.8,103.1,0.5
Louemma TH,1357.8,1357.8,103.2,2.0
NJ 565 TH,1358.4,1358.4,103.2,0.6
County Rd 565,1358.4,1358.4,103.2,0.0
Glenwood  NJ 07418/County Rd 517,1359.9,1359.9,103.3,1.5
Canal Road TH,1361.4,1361.4,103.4,1.5
Vernon  NJ 07462/NJ 94 (Annex) TH/County Rd 515,1362.3,1362.3,103.5,0.9
Barrett Road TH,1365.3,1365.3,103.6,3.0
Wawayanda Shelter,1367.3,1367.3,103.8,2.0
Warwick Turnpike TH,1367.8,1367.8,103.8,0.5
Longhouse Drive (Brady Road) TH,1369.1,1369.1,103.9,1.4
NY 17A TH,1377.0,1377.0,104.4,7.9
Bellvale  NY 10912/Greenwood Lake  NY 10925,1377.1,1377.1,104.4,0.1
Wildcat Shelter,1379.2,1379.2,104.5,2.1
Lakes Road TH,1380.6,1380.6,104.6,1.4
County Rd 5,1380.6,1380.6,104.6,0.0
West Mombasha Road TH,1384.0,1384.0,104.8,3.4
County Rd 91,1384.0,1384.0,104.8,0.0
East Mombasha Road TH,1385.6,1385.6,104.9,1.6
Southfields  NY 10975,1386.9,1386.9,105.0,1.3
County Rd 19,1387.0,1387.0,105.0,0.1
SR 17,1388.7,1388.7,105.1,1.7
I-87,1388.9,1388.9,105.1,0.2
Elk Pen TH,1388.9,1388.9,105.1,0.1
Arden  NY 10910,1389.0,1389.0,105.1,0.1
Fingerboard Shelter,1393.0,1393.0,105.3,3.9
William Brien Memorial Shelter,1398.3,1398.3,105.7,5.3
West Mountain Shelter,1401.3,1401.3,105.8,3.0
Bear Mountain TH,1405.3,1405.3,106.1,4.0
US Hwy 202,1407.4,1407.4,106.2,2.1
Fort Montgomery  NY 10922,1407.8,1407.8,106.2,0.4
Bear Mountain  NY 10911/Peekskill  NY 10566,1408.3,1408.3,106.3,0.5
US Hwy 202,1408.4,1408.3,106.3,0.0
NY 9D TH,1408.4,1408.4,106.3,0.1
South Mountain Pass TH,1410.3,1410.3,106.4,1.8
SR 403,1413.6,1413.6,106.6,3.3
US Hwy 9,1413.6,1413.6,106.6,0.0
South Highland Road TH,1419.5,1419.5,106.9,5.9
Dennytown Road TH,1422.1,1422.1,107.1,2.6
SR 301,1425.8,1425.8,107.3,3.7
NY 301 TH,1425.8,1425.8,107.3,0.0
Long Hill Road TH,1430.2,1430.2,107.6,4.4
RPH Shelter,1432.5,1432.5,107.7,2.3
Hosner Mountain Road TH,1436.0,1436.0,108.0,3.5
SR 52,1437.7,1437.7,108.1,1.7
Stormville  NY 12582/Route 52 TH,1437.7,1437.7,108.1,0.0
Stormville Mountain Road TH,1438.7,1438.7,108.1,1.0
I-84,1439.0,1439.0,108.1,0.3
I-84,1439.0,1439.0,108.1,0.0
Morgan Stewart Shelter,1441.3,1441.3,108.3,2.3
Depot Hill Road TH,1442.4,1442.4,108.3,1.2
Old NY 55 TH,1444.3,1444.3,108.5,1.9
Old NY 55 (Nuclear Lake) TH,1444.5,1444.5,108.5,0.3
Poughquag  NY 12570/Pawling  NY 12564/SR 55,1444.6,1444.6,108.5,0.0
NY 55 TH,1444.7,1444.7,108.5,0.1
Telephone Pioneers Shelter,1448.7,1448.7,108.7,4.1
County Route 20 TH,1449.2,1449.2,108.8,0.5
County Rd 20,1449.3,1449.3,108.8,0.0
NY 22 TH,1451.6,1451.6,108.9,2.4
SR 55,1451.7,1451.7,108.9,0.1
Wiley Shelter,1457.4,1457.4,109.3,5.7
Duell Hollow Road TH,1457.6,1457.6,109.3,0.2
Hoyt Road TH,1458.7,1458.7,109.3,1.0
CT 55 TH,1459.0,1459.0,109.4,0.3
SR 55,1459.3,1459.3,109.4,0.3
Windgdale  NY 12594,1459.3,1459.3,109.4,0.0
Ten Mile River Lean-to,1461.5,1461.5,109.5,2.2
No Official Name Or Unknown TH,1462.7,1462.7,109.6,1.2
Bulls Bridge Road TH,1462.9,1462.9,109.6,0.1
Schaghticoke Road TH,1463.1,1463.1,109.6,0.3
Mount Algo Lean-to,1469.9,1469.9,110.0,6.8
Kent  CT 06757,1470.2,1470.2,110.0,0.3
CT 341 TH,1470.3,1470.3,110.0,0.1
SR 341,1470.3,1470.3,110.0,0.0
River Road (south) TH,1475.1,1475.1,110.3,4.8
River Road (north) TH,1476.1,1476.1,110.4,1.0
Stewart Hollow Brook Lean-to,1477.5,1477.5,110.5,1.5
No Official Name Or Unknown TH,1481.6,1481.6,110.7,4.1
Cornwall Bridge  CT 06754/SR 4,1481.7,1481.7,110.7,0.1
No Official Name Or Unknown TH,1482.3,1482.3,110.8,0.7
West Cornwall Road TH,1486.6,1486.6,111.0,4.3
West Cornwell  CT 06796,1486.6,1486.6,111.0,0.0
Pine Swamp Brook Lean-to,1487.7,1487.7,111.1,1.1
US Hwy 7,1493.7,1493.7,111.5,6.0
US 7 &amp; CT 112 TH,1493.7,1493.7,111.5,0.0
US 7 &amp; CT 112 TH,1494.1,1494.1,111.5,0.4
Falls Village  CT 06031,1495.3,1495.3,111.6,1.2
Falls Village Handicap Accessible Trailhead TH,1496.2,1496.2,111.6,0.9
Housatanic River pull-off TH,1496.7,1496.7,111.7,0.6
"Great Falls Parking, Falls Village TH",1497.0,1497.0,111.7,0.3
Limestone Spring Lean-to,1500.0,1500.0,111.8,3.0
US Hwy 44,1503.0,1503.0,112.0,3.0
Salisbury  CT 06068,1503.2,1503.2,112.0,0.2
SR 41,1503.9,1503.9,112.1,0.7
CT 41 TH,1503.9,1503.9,112.1,0.1
Bunker Hill Road  (Lion's Head Trailhead) TH,1504.7,1504.7,112.1,0.7
Riga Lean-to,1507.0,1507.0,112.3,2.3
Brassie Brook Shelter,1508.1,1508.1,112.3,1.1
Mount Everett Shelter,1515.7,1515.7,112.8,7.6
Guilder Pond Picnic Area TH,1516.1,1516.1,112.8,0.4
The Hemlocks Lean-to,1516.6,1516.6,112.9,0.4
Glen Brook Lean-to,1516.7,1516.7,112.9,0.1
Jug End Road TH,1520.1,1520.1,113.1,3.4
South Egremont  MA 01258/SR 41,1520.9,1520.9,113.1,0.9
Sheffield Road Parking TH,1522.8,1522.8,113.2,1.9
Great Barrington  MA 01230/SR 7,1524.6,1524.6,113.3,1.9
Housatonic River Canoe Launch/Trailhead Parking TH,1525.5,1525.5,113.4,0.9
Sheffield  MA 01157,1525.5,1525.5,113.4,0.0
Homes Road TH,1527.5,1527.5,113.5,1.9
Tom Leonard Lean-to,1531.1,1531.1,113.7,3.6
Lake Buel Road TH,1532.2,1532.2,113.8,1.1
Monterey  MA 01245/SR 23/SR 183,1533.0,1533.0,113.9,0.8
MA 23 TH,1533.1,1533.0,113.9,0.0
Blue Hill Road TH,1534.2,1534.2,113.9,1.1
Mount Wilcox South Lean-to,1536.1,1536.0,114.0,1.9
Mount Wilcox North Lean-to,1538.0,1538.0,114.2,1.9
Fernside/Jerusalem Road TH,1541.7,1541.7,114.4,3.8
Jerusalem Road Pull-off TH,1543.8,1543.8,114.5,2.0
Tyringham  MA 01264,1543.8,1543.8,114.5,0.0
Tyringham Main Road TH,1544.8,1544.8,114.6,1.0
Webster Road TH,1546.6,1546.6,114.7,1.8
Goose Pond Road (MA) TH,1549.0,1549.0,114.8,2.4
Upper Goose Pond Cabin Shelter,1549.9,1549.9,114.9,0.9
I-90,1553.1,1553.1,115.1,3.2
I-90,1553.2,1553.2,115.1,0.1
US 20 TH,1553.4,1553.4,115.1,0.3
US Hwy 20,1553.5,1553.5,115.1,0.0
Lee  MA 01238,1553.5,1553.5,115.1,0.0
Becket  MA 01223/tyne rd pullover TH,1554.3,1554.3,115.2,0.9
County Road TH,1558.8,1558.8,115.4,4.5
October Mountain Lean-to,1560.7,1560.7,115.5,1.9
West Branch Road TH,1561.3,1561.3,115.6,0.6
Pittsfield Road TH,1562.7,1562.7,115.7,1.4
Blotz Road TH,1565.6,1565.6,115.8,2.9
Kay Wood Lean-to,1569.5,1569.5,116.1,3.9
Grange Hall Road TH,1569.8,1569.8,116.1,0.3
SR 8,1572.4,1572.4,116.3,2.6
SR 9,1572.5,1572.5,116.3,0.1
Dalton  MA 01226,1572.5,1572.5,116.3,0.0
Gulf Road TH,1573.6,1573.6,116.3,1.1
Chesire  MA 01225,1581.1,1581.1,116.8,7.4
SR 8,1581.6,1581.6,116.8,0.5
Mark Noepel Lean-to,1585.9,1585.9,117.1,4.2
Greylock Day Use Parking TH,1588.1,1588.1,117.2,2.2
Pecks Brook Lean-to,1588.3,1588.3,117.2,0.3
Gould Trail Day Use Parking TH,1588.6,1588.6,117.2,0.3
Bascom Lodge Shelter,1589.0,1589.0,117.3,0.4
Greylock Summit TH,1589.2,1589.2,117.3,0.2
Bellow's Pipe Lean-to,1589.9,1589.9,117.3,0.7
Notch Road TH,1592.3,1592.3,117.5,2.5
Wilbur Clearing Lean-to,1592.6,1592.6,117.5,0.3
Pattison Road TH,1594.4,1594.4,117.6,1.8
North Adams  MA 01247/Williamstown  MA 01267/SR 2,1595.5,1595.4,117.7,1.0
Seth Warner Shelter,1602.3,1602.3,118.1,6.8
County Road TH,1602.5,1602.5,118.1,0.3
Congdon Shelter,1609.3,1609.3,118.5,6.7
Bennington  VT 05201/SR 9,1613.4,1613.4,118.8,4.1
VT 9 TH,1613.5,1613.5,118.8,0.1
Melville Nauheim Shelter,1614.9,1614.9,118.8,1.4
Goddard Shelter,1623.2,1623.2,119.3,8.3
Kid Gore Shelter,1627.2,1627.2,119.6,4.0
Caughnawaga (old shelter),1627.3,1627.3,119.6,0.1
Story Spring Shelter,1631.9,1631.9,119.9,4.7
road sholder TH,1633.6,1633.5,120.0,1.6
Stratton-Arlington Road TH,1635.6,1635.6,120.1,2.0
Gmc Caretaker Hut Shelter,1639.3,1639.3,120.3,3.7
Stratton Pond Shelter,1642.4,1642.4,120.5,3.1
William B. Douglas Shelter,1646.9,1646.9,120.8,4.5
Manchester Center  VT 05255,1648.2,1648.2,120.9,1.4
Spruce Peak Shelter,1650.2,1650.2,121.0,2.0
SR 30,1653.0,1653.0,121.2,2.8
VT 11 &amp; 30 TH,1653.1,1653.1,121.2,0.0
Bromley Shelter,1654.9,1654.9,121.3,1.8
USFS 21 TH,1658.2,1658.2,121.5,3.3
Peru Peak Shelter,1662.8,1662.8,121.8,4.6
Lost Pond Shelter,1667.3,1667.3,122.0,4.6
Big Branch Shelter,1669.1,1669.1,122.1,1.8
"Danby-Landgrove Rd, USFS 10 TH",1670.2,1670.2,122.2,1.1
"Danby  VT 05739/Danby-Landgrove Rd, USFS 10 TH",1670.3,1670.3,122.2,0.1
Lula Tye Shelter,1672.1,1672.1,122.3,1.8
Little Rock Pond Shelter,1672.7,1672.7,122.4,0.7
Greenwall Shelter,1677.2,1677.2,122.6,4.5
Wallingford  VT 05773,1678.5,1678.5,122.7,1.3
VT 140 TH,1678.6,1678.6,122.7,0.1
SR 140,1678.6,1678.6,122.7,0.0
VT 140 TH,1678.8,1678.8,122.7,0.2
Minerva Hinchey Shelter,1682.3,1682.3,123.0,3.5
VT 103 TH,1685.0,1685.0,123.1,2.7
SR 103,1685.1,1685.1,123.1,0.0
Clarendon Shelter,1686.1,1686.1,123.2,1.1
No Official Name or Unknown TH,1688.9,1688.9,123.3,2.7
Lower Cold River Road TH,1689.2,1689.2,123.4,0.4
Governor Clement Shelter,1692.2,1692.2,123.6,2.9
Cooper Lodge Shelter,1696.5,1696.5,123.8,4.4
Pico Camp Shelter,1699.3,1699.3,124.0,2.8
Churchhill Scott Shelter,1700.8,1700.8,124.1,1.5
US Rte 4 TH,1702.8,1702.8,124.2,1.9
US Hwy 4,1702.8,1702.8,124.2,0.0
Tucker Johnson (old shelter),1703.5,1703.5,124.2,0.8
Gifford Woods State Park Shelter,1705.9,1705.9,124.4,2.4
SR 100,1706.1,1706.1,124.4,0.1
Killington  VT 05751,1706.1,1706.1,124.4,0.0
Thunder Falls Parking TH,1708.0,1708.0,124.5,1.9
Stony Brook Shelter,1712.7,1712.7,124.8,4.7
Stony Brook Road TH,1713.3,1713.3,124.8,0.6
No Official Name or Unknown TH,1717.0,1717.0,125.1,3.7
No Official Name or Unknown Shelter,1719.6,1719.6,125.2,2.7
Winturri Shelter,1722.0,1722.0,125.4,2.4
VT 12 TH,1725.7,1725.7,125.6,3.7
Woodstock  VT 05091/SR 12,1725.8,1725.8,125.6,0.1
South Pomfret  VT 05067/Stage Road TH,1728.0,1728.0,125.7,2.2
Pomfret TH,1730.4,1730.4,125.9,2.4
Cloudland TH,1732.7,1732.7,126.0,2.3
Cloudland Shelter,1733.2,1733.2,126.0,0.5
Thistle Hill Shelter,1734.6,1734.6,126.1,1.4
Joe Ranger Road TH,1736.0,1736.0,126.2,1.4
West Hartford  VT 05084/SR 14,1740.5,1740.5,126.5,4.4
I-89,1740.7,1740.7,126.5,0.3
I-89,1740.8,1740.8,126.5,0.1
Podunk Road TH,1740.8,1740.8,126.5,0.0
Happy Hill Shelter,1744.2,1744.2,126.7,3.3
Elm Street TH,1747.7,1747.7,126.9,3.5
Norwich  VT 05055,1748.7,1748.7,127.0,1.0
US Hwy 5,1748.8,1748.8,127.0,0.2
I-91,1749.2,1749.2,127.0,0.4
I-91,1749.2,1749.2,127.0,0.0
Hanover  NH 03755,1750.1,1750.1,127.1,0.9
SR 120,1750.8,1750.8,127.1,0.6
Velvet Rocks Shelter,1751.9,1751.9,127.2,1.2
Trescot Road TH,1754.6,1754.6,127.4,2.7
Etna Hanover Center Road TH,1756.0,1755.9,127.4,1.3
Three Mile Road TH,1758.4,1758.4,127.6,2.5
Moose Mountain Shelter,1761.0,1761.0,127.7,2.6
Old Moose Mountain (old shelter),1761.2,1761.2,127.8,0.3
Goose Pond Road (NH) TH,1764.2,1764.2,127.9,3.0
Trapper John Shelter,1767.1,1767.1,128.1,2.9
Lyme  NH 03768,1767.9,1767.9,128.2,0.8
Dartmouth Skiway TH,1768.0,1768.0,128.2,0.1
Dorchester Road TH,1769.8,1769.8,128.3,1.8
Fire Warden's Cabin Shelter,1773.6,1773.6,128.5,3.8
No Official Name or Unknown TH,1777.3,1777.3,128.7,3.7
Hexacuba Shelter,1778.8,1778.8,128.8,1.4
NH 25A trailhead TH,1783.6,1783.6,129.1,4.9
Wentworth  NH 03282,1783.8,1783.8,129.1,0.2
Ore Hill (old shelter),1786.0,1786.0,129.3,2.2
NH 25 C TH,1788.8,1788.8,129.4,2.8
Warren  HH 03279,1788.9,1788.9,129.4,0.1
Glencliff  NH 03238,1793.7,1793.7,129.7,4.9
NH 25 TH,1793.8,1793.8,129.7,0.0
SR 25,1793.8,1793.8,129.7,0.0
Jeffers Brook Shelter,1794.8,1794.8,129.8,1.0
Jeffers Brook Road TH,1794.9,1794.9,129.8,0.1
Sanitarium Road TH,1795.2,1795.2,129.8,0.4
Beaver Brook Shelter,1801.3,1801.3,130.2,6.1
NH 112 TH,1802.6,1802.6,130.3,1.3
North Woodstock  NH 03262/SR 112,1802.6,1802.6,130.3,0.1
Eliza Brook Shelter,1809.7,1809.7,130.7,7.1
Kinsman Pond Shelter,1813.4,1813.4,130.9,3.7
Lonesome Lake Hut Shelter,1815.2,1815.2,131.0,1.8
I-93,1817.9,1817.9,131.2,2.7
I-93,1818.0,1818.0,131.2,0.1
NH 3 TH,1818.1,1818.0,131.2,0.0
Garfield Ridge Shelter,1827.7,1827.7,131.8,9.7
Galehead Hut Shelter,1830.3,1830.3,132.0,2.6
Guyot Shelter,1833.1,1833.1,132.1,2.7
Zealand Falls Hut Shelter,1836.8,1836.8,132.4,3.8
Ethan Pond Shelter,1841.8,1841.8,132.7,4.9
Ethan Pond Trailhead TH,1844.4,1844.4,132.8,2.7
US 302 TH,1844.7,1844.7,132.8,0.3
US Hwy 302,1844.8,1844.8,132.8,0.0
Mizpah Spring Hut Shelter,1850.7,1850.7,133.2,6.0
Lake of the Clouds Hut Shelter,1855.6,1855.6,133.5,4.8
Mt. Washington  NH 03589,1856.9,1856.9,133.6,1.3
Madison Spring Hut Shelter,1862.4,1862.4,133.9,5.5
No Official Name Or Unknown TH,1867.8,1867.8,134.2,5.4
Pinkham Notch TH,1869.7,1869.7,134.4,1.9
SR 16,1869.8,1869.7,134.4,0.1
Carter Notch Hut Shelter,1875.1,1875.1,134.7,5.4
Imp Campsite Shelter,1882.1,1882.1,135.1,7.0
Rattle River Shelter,1887.6,1887.6,135.4,5.5
US 2 Rattle River TH,1889.3,1889.3,135.6,1.7
US Hwy 2,1889.3,1889.3,135.6,-0.0
Gorham  NH 03581,1889.4,1889.4,135.6,0.1
No Official Name or Unknown TH,1890.2,1890.2,135.6,0.8
Gentian Pond Shelter,1900.7,1900.7,136.2,10.4
Carlo Col Shelter,1905.4,1905.4,136.5,4.8
Full Goose Shelter,1909.7,1909.7,136.8,4.3
Speck Pond Shelter,1914.2,1914.2,137.1,4.5
NH 26 (Grafton Notch) TH,1918.6,1918.6,137.3,4.4
SR 26,1918.7,1918.7,137.3,0.1
Baldpate Lean-to,1921.0,1921.0,137.5,2.3
Frye Notch Lean-to,1924.3,1924.3,137.7,3.3
East B Hill Road TH,1928.7,1928.7,138.0,4.4
Andover  ME 04216,1928.7,1928.7,138.0,0.0
Hall Mountain Lean-to,1934.5,1934.5,138.3,5.8
Bemis Mountain Lean-to,1946.6,1946.6,139.0,12.1
SR 17,1951.1,1951.1,139.3,4.5
Sabbath Day Pond Lean-to,1954.7,1954.7,139.5,3.6
ME 4 TH,1963.8,1963.8,140.1,9.1
Rangely  ME 04970/Oquossoc  ME 04964/SR 4,1963.8,1963.8,140.1,0.0
Piazza Rock Lean-to,1965.6,1965.6,140.2,1.8
Poplar Ridge Lean-to,1974.0,1974.0,140.7,8.3
Spaulding Mountain Lean-to,1981.7,1981.7,141.2,7.7
Caribou Valley Road (pull-off 1) TH,1986.7,1986.7,141.5,5.0
Caribou Valley Road (pull-off 2) TH,1986.7,1986.7,141.5,0.0
ME 27 TH,1994.6,1994.6,142.0,7.9
Stratton  ME 04982/SR 16/SR 27,1994.6,1994.6,142.0,0.0
No Official Name Or Unknown TH,1995.5,1995.5,142.0,0.9
No Official Name Or Unknown TH,1995.5,1995.5,142.0,0.0
Horns Pond Day Use Shelter,1999.5,1999.5,142.3,4.1
Horns Pond Lean-to (east),1999.6,1999.6,142.3,0.0
Avery Col Shelter,2002.4,2002.4,142.4,2.8
Little Bigelow Lean-to,2009.4,2009.4,142.9,7.1
Bog Brook Road TH,2010.7,2010.7,142.9,1.3
Bog Brook Road TH,2010.8,2010.8,143.0,0.1
West Carry Pond Lean-to,2017.1,2017.1,143.3,6.2
Pierce Pond Lean-to,2027.2,2027.2,143.9,10.1
Caratunk  ME 04925,2031.0,2031.0,144.2,3.8
US Hwy 201,2031.1,2031.1,144.2,0.0
ME 201 TH,2031.1,2031.1,144.2,0.0
No Official Name Or Unknown TH,2036.5,2036.5,144.5,5.4
No Official Name Or Unknown TH,2036.5,2036.5,144.5,0.0
Pleasant Pond Lean-to,2036.8,2036.8,144.5,0.3
Pleasant Pond Road TH,2037.0,2037.0,144.5,0.2
No Official Name Or Unknown TH,2042.8,2042.8,144.9,5.8
Bald Mountain Brook Lean-to,2045.4,2045.4,145.1,2.6
Moxie Bald Lean-to,2049.4,2049.4,145.3,4.0
Horseshoe Canyon Lean-to,2058.4,2058.4,145.8,9.0
Shirley-Blanchard Road TH,2061.2,2061.1,146.0,2.8
Pleasant Road TH,2064.2,2064.2,146.2,3.0
Monson  ME 04464,2064.6,2064.6,146.2,0.5
ME 15 TH,2067.5,2067.5,146.4,2.9
